"","Day","Hr","Temp","KWH"
"289","12/12/2014",21,33.98,41.5465196654694
"290","12/12/2014",22,33.98,40.2873826123179
"291","12/12/2014",23,33.08,38.7043886879055
"292","12/13/2014",0,33.08,14.9407884888485
"293","12/13/2014",1,33.08,13.681651435697
"294","12/13/2014",2,33.08,12.4225143825454
"295","12/13/2014",3,32,10.7747490838809
"296","12/13/2014",4,32,9.51561203072929
"297","12/13/2014",5,32,8.25647497757773
"298","12/13/2014",6,32,6.99733792442617
"299","12/13/2014",7,33.08,87.5181457350636
"300","12/13/2014",8,33.8,86.5180941789207
"301","12/13/2014",9,35.06,85.7123567455343
"302","12/13/2014",10,35.96,84.7770765636435
"303","12/13/2014",11,37.94,84.2304246272658
"304","12/13/2014",12,39.92,83.683772690888
"305","12/13/2014",13,41,82.8132638832494
"306","12/13/2014",14,41,81.5541268300978
"307","12/13/2014",15,39.92,79.9063615314333
"308","12/13/2014",16,39.02,78.3233676070209
"309","12/13/2014",17,39.02,77.0642305538694
"310","12/13/2014",18,37.94,75.4164652552048
"311","12/13/2014",19,37.04,73.8334713307925
"312","12/13/2014",20,35.96,-9.20561058614808
"313","12/13/2014",21,33.98,-11.1772327560734
"314","12/13/2014",22,33.98,-12.436369809225
"315","12/13/2014",23,33.08,-14.0193637336374
"316","12/14/2014",0,33.98,10.4492143368838
"317","12/14/2014",1,33.98,9.19007728373221
"318","12/14/2014",2,33.98,7.93094023058065
"319","12/14/2014",3,33.98,6.67180317742909
"320","12/14/2014",4,33.08,5.08880925301671
"321","12/14/2014",5,33.98,4.15352907112597
"322","12/14/2014",6,33.98,2.89439201797441
"323","12/14/2014",7,33.98,83.0265715830988
"324","12/14/2014",8,35.42,82.2856055239646
"325","12/14/2014",9,37.04,81.6094108390825
"326","12/14/2014",10,39.02,81.0627589027047
"327","12/14/2014",11,41,80.516106966327
"328","12/14/2014",12,42.98,79.9694550299492
"329","12/14/2014",13,44.06,79.0989462223106
"330","12/14/2014",14,44.06,77.8398091691591
"331","12/14/2014",15,42.98,76.1920438704945
"332","12/14/2014",16,41,74.2204217005692
"333","12/14/2014",17,39.92,72.5726564019046
"334","12/14/2014",18,37.94,70.6010342319793
"335","12/14/2014",19,37.04,69.0180403075669
"336","12/14/2014",20,35.06,-14.3448984806345
"337","12/14/2014",21,35.06,-15.604035533786
"338","12/14/2014",22,33.98,-17.2518008324505
"339","12/14/2014",23,33.98,-18.5109378856021
"340","12/15/2014",0,33.98,64.7781104328351
"341","12/15/2014",1,33.08,63.1951165084227
"342","12/15/2014",2,33.08,61.9359794552712
"343","12/15/2014",3,33.08,60.6768424021196
"344","12/15/2014",4,33.08,59.4177053489681
"345","12/15/2014",5,33.08,58.1585682958165
"346","12/15/2014",6,32,56.510802997152
"347","12/15/2014",7,33.98,137.35546767905
"348","12/15/2014",8,35.06,136.484958871412
"349","12/15/2014",9,37.04,135.938306935034
"350","12/15/2014",10,39.02,135.391654998656
"351","12/15/2014",11,41,134.845003062278
"352","12/15/2014",12,39.92,133.197237763614
"353","12/15/2014",13,39.92,131.938100710462
"354","12/15/2014",14,39.02,130.35510678605
"355","12/15/2014",15,37.94,128.707341487385
"356","12/15/2014",16,37.04,127.124347562973
"357","12/15/2014",17,39.02,126.577695626595
"358","12/15/2014",18,37.04,124.60607345667
"359","12/15/2014",19,37.94,123.670793274779
"360","12/15/2014",20,35.96,40.3078544865777
"361","12/15/2014",21,35.96,39.0487174334262
"362","12/15/2014",22,36.32,37.9191231287789
"363","12/15/2014",23,37.94,37.2429284438968
"364","12/16/2014",0,35.96,66.2931673868132
"365","12/16/2014",1,35.06,64.7101734624008
"366","12/16/2014",2,35.06,63.4510364092492
"367","12/16/2014",3,35.06,62.1918993560977
"368","12/16/2014",4,35.96,61.2566191742069
"369","12/16/2014",5,37.04,60.3861103665684
"370","12/16/2014",6,37.94,59.4508301846776
"371","12/16/2014",7,39.02,139.971637995315
"372","12/16/2014",8,39.02,138.712500942163
"373","12/16/2014",9,39.92,137.777220760273
"374","12/16/2014",10,41,136.906711952634
"375","12/16/2014",11,39.92,135.25894665397
"376","12/16/2014",12,39.92,133.999809600818
"377","12/16/2014",13,39.92,132.740672547666
"378","12/16/2014",14,39.92,131.481535494515
"379","12/16/2014",15,39.92,130.222398441363
"380","12/16/2014",16,41,129.351889633725
"381","12/16/2014",17,41.54,128.28706670333
"382","12/16/2014",18,42.08,127.222243772935
"383","12/16/2014",19,42.98,126.286963591044
"384","12/16/2014",20,43.43,43.7984383552468
"385","12/16/2014",21,44.06,42.7660011119778
"386","12/16/2014",22,44.06,41.5068640588262
"387","12/16/2014",23,42.98,39.8590987601617
"388","12/17/2014",0,43.46,69.7945464845242
"389","12/17/2014",1,44.06,68.7513140122132
"390","12/17/2014",2,44.96,67.8160338303225
"391","12/17/2014",3,46.04,66.9455250226839
"392","12/17/2014",4,46.94,66.0102448407932
"393","12/17/2014",5,44.96,64.0386226708678
"394","12/17/2014",6,44.42,62.5851714949598
"395","12/17/2014",7,42.98,142.199180066067
"396","12/17/2014",8,42.98,140.940043012915
"397","12/17/2014",9,42.89,139.648520272638
"398","12/17/2014",10,42.44,138.227454783856
"399","12/17/2014",11,42.86,137.119450937293
"400","12/17/2014",12,44.78,136.551208542831
"401","12/17/2014",13,46.04,135.745471109444
"402","12/17/2014",14,46.67,134.713033866175
"403","12/17/2014",15,47.21,133.64821093578
"404","12/17/2014",16,48.02,132.680545066763
"405","12/17/2014",17,46.94,131.032779768099
"406","12/17/2014",18,45.86,129.385014469434
"407","12/17/2014",19,44.96,127.802020545022
"408","12/17/2014",20,44.06,44.8277100023336
"409","12/17/2014",21,42.98,43.179944703669
"410","12/17/2014",22,42.08,41.5969507792567
"411","12/17/2014",23,41,39.9491854805921
"412","12/18/2014",0,39.92,69.3232812947693
"413","12/18/2014",1,39.92,68.0641442416177
"414","12/18/2014",2,39.92,66.8050071884662
"415","12/18/2014",3,39.92,65.5458701353146
"416","12/18/2014",4,39.02,63.9628762109022
"417","12/18/2014",5,37.04,61.9912540409769
"418","12/18/2014",6,37.04,60.7321169878253
"419","12/18/2014",7,36.32,140.605211055941
"420","12/18/2014",8,37.04,139.605159499798
"421","12/18/2014",9,39.92,139.382364434681
"422","12/18/2014",10,41,138.511855627043
"423","12/18/2014",11,42.98,137.965203690665
"424","12/18/2014",12,42.98,136.706066637513
"425","12/18/2014",13,42.98,135.446929584362
"426","12/18/2014",14,42.98,134.18779253121
"427","12/18/2014",15,42.08,132.604798606798
"428","12/18/2014",16,41,130.957033308133
"429","12/18/2014",17,41,129.697896254982
"430","12/18/2014",18,39.92,128.050130956317
"431","12/18/2014",19,39.02,126.467137031905
"432","12/18/2014",20,39.02,43.8166833604773
"433","12/18/2014",21,39.02,42.5575463073257
"434","12/18/2014",22,37.94,40.9097810086612
"435","12/18/2014",23,37.04,39.3267870842488
"436","12/19/2014",0,37.04,69.0895111439389
"437","12/19/2014",1,37.04,67.8303740907874
"438","12/19/2014",2,35.96,66.1826087921228
"439","12/19/2014",3,35.06,64.5996148677105
"440","12/19/2014",4,35.06,63.3404778145589
"441","12/19/2014",5,33.98,61.6927125158944
"442","12/19/2014",6,33.98,60.4335754627428
"443","12/19/2014",7,33.98,140.565755027867
"444","12/19/2014",8,35.06,139.695246220229
"445","12/19/2014",9,33.98,138.047480921564
"446","12/19/2014",10,33.98,136.788343868413
"447","12/19/2014",11,35.06,135.917835060774
"448","12/19/2014",12,35.06,134.658698007622
"449","12/19/2014",13,35.06,133.399560954471
"450","12/19/2014",14,35.06,132.140423901319
"451","12/19/2014",15,35.06,130.881286848168
"452","12/19/2014",16,33.08,128.909664678242
"453","12/19/2014",17,32,127.261899379578
"454","12/19/2014",18,30.92,125.614134080913
"455","12/19/2014",19,30.92,124.354997027762
"456","12/19/2014",20,30.02,41.3806864850734
"457","12/19/2014",21,30.02,40.1215494319218
"458","12/19/2014",22,28.94,38.4737841332573
"459","12/19/2014",23,28.94,37.2146470801057
"460","12/20/2014",0,28.04,13.1271900097879
"461","12/20/2014",1,28.04,11.8680529566364
"462","12/20/2014",2,28.04,10.6089159034848
"463","12/20/2014",3,28.04,9.34977885033327
"464","12/20/2014",4,28.04,8.09064179718171
"465","12/20/2014",5,28.04,6.83150474403015
"466","12/20/2014",6,26.96,5.18373944536561
"467","12/20/2014",7,28.04,85.704547256003
"468","12/20/2014",8,30.02,85.1578953196253
"469","12/20/2014",9,30.11,83.9311439535998
"470","12/20/2014",10,30.92,82.9634780845829
"471","12/20/2014",11,33.08,82.4815975224573
"472","12/20/2014",12,33.08,81.2224604693058
"473","12/20/2014",13,33.98,80.287180287415
"474","12/20/2014",14,33.8,78.9632718600113
"475","12/20/2014",15,33.98,77.7689061811119
"476","12/20/2014",16,33.08,76.1859122566996
"477","12/20/2014",17,33.44,75.0563179520523
"478","12/20/2014",18,33.89,73.9591093345312
"479","12/20/2014",19,35.06,73.1209862140187
"480","12/20/2014",20,35.06,-9.52946745740889
"481","12/20/2014",21,35.06,-10.7886045105605
"482","12/20/2014",22,35.06,-12.047741563712
"483","12/20/2014",23,35.06,-13.3068786168636
"484","12/21/2014",0,35.06,10.8378425823967
"485","12/21/2014",1,35.33,9.67586259062343
"486","12/21/2014",2,35.06,8.31956847609363
"487","12/21/2014",3,35.06,7.06043142294207
"488","12/21/2014",4,32,4.70018100750374
"489","12/21/2014",5,32,3.44104395435218
"490","12/21/2014",6,30.92,1.79327865568764
"491","12/21/2014",7,30.02,81.6016013495513
"492","12/21/2014",8,30.02,80.3424642963997
